event_slug,city,event_date,cohort,sample_activity,token_id,factor,horizon_seconds,lifecycle_bucket,rows,valid_rows,coverage,zero_rate,ic,crossing_markout
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,42131479452771174452734651970980678998744861425723702313108406384374737523614,microprice_minus_mid,120,>24h,12349,12349,1.0,0.6844278888978864,0.0078427130413956,-0.0118469420949902
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,42131479452771174452734651970980678998744861425723702313108406384374737523614,microprice_minus_mid,300,all,44785,43776,0.9774701350898738,0.3710480628654971,-0.0367180197972543,-0.0216650677717739
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,42131479452771174452734651970980678998744861425723702313108406384374737523614,microprice_minus_mid,300,6-24h,32436,31427,0.9688925884819336,0.2686225220351926,-0.0371583602689537,-0.0254566124920331
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,42131479452771174452734651970980678998744861425723702313108406384374737523614,microprice_minus_mid,300,>24h,12349,12349,1.0,0.6317110697222447,-0.0304991713773866,-0.0119888581652569
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,42131479452771174452734651970980678998744861425723702313108406384374737523614,microprice_minus_mid,600,all,44785,43718,0.9761750586133752,0.3177867240038428,-0.0616635297033999,-0.0217845843459122
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,42131479452771174452734651970980678998744861425723702313108406384374737523614,microprice_minus_mid,600,6-24h,32436,31369,0.9671044518436306,0.2286652427555867,-0.0551473963721216,-0.0255113019602835
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,42131479452771174452734651970980678998744861425723702313108406384374737523614,microprice_minus_mid,600,>24h,12349,12349,1.0,0.5441736172969471,-0.0698911678370375,-0.012291395575797
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,42131479452771174452734651970980678998744861425723702313108406384374737523614,microprice_minus_mid,900,all,44785,42636,0.9520151836552416,0.2609062763861525,-0.0662289713296208,-0.0228515140116607
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,42131479452771174452734651970980678998744861425723702313108406384374737523614,microprice_minus_mid,900,6-24h,32436,30287,0.9337464545566654,0.1733747152243537,-0.0697093719293414,-0.0271789682539682
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,42131479452771174452734651970980678998744861425723702313108406384374737523614,microprice_minus_mid,900,>24h,12349,12349,1.0,0.4755850676168111,-0.066290003200053,-0.0122088484059856
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,66173946712642627581693841475041958318768566932010878185227907218255965480677,depth_imbalance_1,30,all,58759,58610,0.9974642182474174,0.6857874082921003,0.0351593403014625,-0.0213701067615658
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,66173946712642627581693841475041958318768566932010878185227907218255965480677,depth_imbalance_1,30,6-24h,27098,26949,0.9945014392206069,0.7992875431370366,0.0714187643317736,-0.0180246409618881
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,66173946712642627581693841475041958318768566932010878185227907218255965480677,depth_imbalance_1,30,>24h,31661,31661,1.0,0.5891791162629102,0.0117711158283865,-0.0242839135072239
